⺁	〔※󰃼※󰄋※󰄋※※☯rtt※〕
⺄	〔※󰄺※󰄺※󰃒※󰃒☯nnll※〕
⺈	〔※󰄾※󰄋※󰃦※※☯qtn※〕
⺋	〔※󰂑※󰂁※󰄻※※☯bnn※〕
⺌	〔※󰃆※󰂺※󰄼※󰄋☯ihyt※〕
⺗	〔※󰃤※󰂻※󰄋※󰄼☯nhty※〕
⺧	〔※󰄋※󰂮※󰀌※※☯tfd※〕
⺪	〔※󰃦※󰂾※󰀌※※☯nhd※〕
⺮	〔※󰄍※󰄋※󰂶※󰄼☯ttgy※〕
⺳	〔※󰃱※󰄋※󰁏※󰀅☯ptnb※〕
⺶	〔※󰄝※󰄼※󰄋※󰄋☯uytt※〕
⺷	〔※󰄒※󰂷※󰀘※※☯ugf※〕
⺻	〔※󰁬※󰂺※󰂶※󰀌☯vhgd※〕
⻊	〔※󰃏※󰂾※󰀘※※☯khf※〕
㐀	〔※󰂺※󰂶※󰀥※󰂶☯hghg※〕
㐁	〔※󰂶※󰃒※󰄤※󰀦☯glwi※〕
㐂	〔※󰂌※󰂌※󰂌※󰀅☯aaab※〕
㐃	〔※󰃒※󰂺※󰀵※※☯lhk※〕
㐄	〔※󰂅※󰂶※󰂂※󰂺☯ggnh※〕
㐅	〔※󰄄※󰄋※󰄼※※☯rty※〕
㐆	〔※󰃼※󰄢※󰂁※󰁫☯rvnv※〕
㐇	〔※󰄡※󰃝※󰀅※※☯vnb※〕
㐈	〔※󰄋※󰂃※󰃝※󰀅☯tynb※〕
㐉	〔※󰄆※󰃝※󰀅※※☯snb※〕
㐊	〔※󰂯※󰃝※󰀅※※☯fnb※〕
㐋	〔※󰂮※󰃝※󰀅※※☯fnb※〕
㐌	〔※󰁿※󰂓※󰀅※※☯tbb※〕
㐍	〔※󰂦※󰃝※󰀅※※☯enb※〕
㐎	〔※󰄷※󰃝※󰀅※※☯ynb※〕
㐏	〔※󰂸※󰃝※󰀅※※☯gnb※〕
㐐	〔※󰄟※󰂘※󰃝※󰀅☯vcnb※〕
㐑	〔※󰄐※󰁦※󰃝※󰀅☯tunb※〕
㐒	〔※󰄠※󰃏※󰃝※󰀅☯vknb※〕
㐓	〔※󰄆※󰃏※󰃝※󰀅☯sknb※〕
㐔	〔※󰁸※󰃝※󰀅※※☯ynb※〕
㐕	〔※󰃙※󰃝※󰀅※※☯mnb※〕
㐖	〔※󰂯※󰃏※󰄻※󰁀☯fknn※〕
㐗	〔※󰂮※󰄋※󰄮※󰃝☯ftxn※〕
㐘	〔※󰃪※󰃝※󰀅※※☯onb※〕
㐙	〔※󰂶※󰃏※󰄕※󰃝☯gkun※〕
㐚	〔※󰂸※󰃏※󰃝※󰀅☯gknb※〕
㐛	〔※󰄥※󰁼※󰃏※󰃝☯wdkn※〕
㐜	〔※󰂶※󰃃※󰄼※󰄡☯giyv※〕
㐝	〔※󰃿※󰃷※󰃏※󰃝☯rqkn※〕
㐞	〔※󰀎※󰄦※󰃝※󰀅☯dwnb※〕
㐟	〔※󰂺※󰂜※󰂺※󰃝☯hdhn※〕
㐠	〔※󰂦※󰂎※󰄻※󰃝☯ebnn※〕
㐡	〔※󰄡※󰂢※󰃜※󰂝☯vdmd※〕
㐢	〔※󰃁※󰂦※󰂍※󰃝☯iebn※〕
㐣	〔※󰃫※󰃗※󰃝※󰁫☯olnv※〕
㐤	〔※󰄡※󰂱※󰀣※󰄦☯vfhw※〕
㐥	〔※󰃶※󰀐※󰀞※󰃝☯qegn※〕
㐦	〔※󰀗※󰂶※󰁕※󰃝☯egnn※〕
㐧	〔※󰄼※󰃦※󰂻※󰄋☯ynht※〕
㐨	〔※󰁻※󰃦※󰂻※󰂻☯cnhh※〕
㐩	〔※󰂭※󰀯※󰂭※󰀯☯fjfj※〕
㐪	〔※󰂶※󰂔※󰄤※󰀦☯gbwi※〕
㐫	〔※󰄶※󰄄※󰂔※󰀬☯yrbj※〕
㐬	〔※󰄶※󰂙※󰀸※󰀅☯yckb※〕
㐭	〔※󰄶※󰃒※󰃏※󰀘☯ylkf※〕
㐮	〔※󰄘※󰀀※󰀔※󰁧☯uaeu※〕
㐯	〔※󰁸※󰃏※󰄌※󰃊☯yktj※〕
㐰	〔※󰄥※󰃏※󰀝※※☯wkg※〕
㐱	〔※󰄤※󰂥※󰁣※※☯wer※〕
㐲	〔※󰄥※󰂝※󰁶※※☯wdy※〕
㐳	〔※󰄥※󰂶※󰃺※󰁀☯wgqn※〕
㐴	〔※󰄥※󰃹※󰁶※※☯wqy※〕
㐵	〔※󰄥※󰂶※󰀛※󰀢☯wgfh※〕
㐶	〔※󰄥※󰃠※󰁀※※☯wnn※〕
㐷	〔※󰄥※󰀊※󰂶※󰀝☯wcgg※〕
㐸	〔※󰄥※󰄾※󰄤※󰁶☯wqwy※〕
㐹	〔※󰄥※󰄂※󰁀※※☯wrn※〕
㐺	〔※󰄥※󰄥※󰄤※󰁶☯wwwy※〕
㐻	〔※󰄥※󰃜※󰄤※󰁶☯wmwy※〕
㐼	〔※󰄥※󰄋※󰂉※󰀢☯wtah※〕
㐽	〔※󰄥※󰁰※󰄄※󰁶☯wwry※〕
㐾	〔※󰄥※󰂭※󰃺※󰁀☯wfqn※〕
㐿	〔※󰄥※󰃾※󰀢※※☯wrh※〕
㑀	〔※󰄥※󰂝※󰄼※󰁶☯wdyy※〕
㑁	〔※󰄥※󰂔※󰃘※󰀢☯wbmh※〕
㑂	〔※󰄥※󰂶※󰃜※󰄤☯wgmw※〕
㑃	〔※󰄥※󰄩※󰂫※󰁥☯wxet※〕
