⺁	〔※󰃼※󰄋※󰄋※☯rtt☯※〕
⺄	〔※󰄺※󰄺※󰃒※󰃒☯nnll☯※〕
⺈	〔※󰄾※󰄋※󰃦※☯qtn☯※〕
⺋	〔※󰂑※󰂁※󰄻※☯bnn☯※〕
⺌	〔※󰃆※󰂺※󰄼※󰄋☯ihyt☯※〕
⺗	〔※󰃤※󰂻※󰄋※󰄼☯nhty☯※〕
⺧	〔※󰄋※󰂮※󰀌※☯tfd☯※〕
⺪	〔※󰃦※󰂾※󰀌※☯nhd☯※〕
⺮	〔※󰄍※󰄋※󰂶※󰄼☯ttgy☯※〕
⺳	〔※󰃱※󰄋※󰁏※󰀅☯ptnb☯※〕
⺶	〔※󰄝※󰄼※󰄋※󰄋☯uytt☯※〕
⺷	〔※󰄒※󰂷※󰀘※☯ugf☯※〕
⺻	〔※󰁬※󰂺※󰂶※󰀌☯vhgd☯※〕
⻊	〔※󰃏※󰂾※󰀘※☯khf☯※〕
㐀	〔※󰂺※󰂶※󰀥※󰂶☯hghg☯qiū※〕
㐁	〔※󰂶※󰃒※󰄤※󰀦☯glwi☯tiàn※〕
㐂	〔※󰂌※󰂌※󰂌※󰀅☯aaab☯xǐ※〕
㐃	〔※󰃒※󰂺※󰀵※☯lhk☯※〕
㐄	〔※󰂅※󰂶※󰂂※󰂺☯ggnh☯※〕
㐅	〔※󰄄※󰄋※󰄼※☯rty☯wǔ※〕
㐆	〔※󰃼※󰄢※󰂁※󰁫☯rvnv☯yǐn※yī※〕
㐇	〔※󰄡※󰃝※󰀅※☯vnb☯jiǔ※〕
㐈	〔※󰄋※󰂃※󰃝※󰀅☯tynb☯rù※〕
㐉	〔※󰄆※󰃝※󰀅※☯snb☯dīng※〕
㐊	〔※󰂯※󰃝※󰀅※☯fnb☯shì※〕
㐋	〔※󰂮※󰃝※󰀅※☯fnb☯tǔ※〕
㐌	〔※󰁿※󰂓※󰀅※☯tbb☯sì※yí※〕
㐍	〔※󰂦※󰃝※󰀅※☯enb☯zhǎo※〕
㐎	〔※󰄷※󰃝※󰀅※☯ynb☯wén※〕
㐏	〔※󰂸※󰃝※󰀅※☯gnb☯wǔ※〕
㐐	〔※󰄟※󰂘※󰃝※󰀅☯vcnb☯nú※〕
㐑	〔※󰄐※󰁦※󰃝※󰀅☯tunb☯dōng※〕
㐒	〔※󰄠※󰃏※󰃝※󰀅☯vknb☯zhào※〕
㐓	〔※󰄆※󰃏※󰃝※󰀅☯sknb☯kě※〕
㐔	〔※󰁸※󰃝※󰀅※☯ynb☯xiǎng※〕
㐕	〔※󰃙※󰃝※󰀅※☯mnb☯※〕
㐖	〔※󰂯※󰃏※󰄻※󰁀☯fknn☯yè※〕
㐗	〔※󰂮※󰄋※󰄮※󰃝☯ftxn☯lǎo※〕
㐘	〔※󰃪※󰃝※󰀅※☯onb☯mǐ※〕
㐙	〔※󰂶※󰃏※󰄕※󰃝☯gkun☯dòu※〕
㐚	〔※󰂸※󰃏※󰃝※󰀅☯gknb☯wú※〕
㐛	〔※󰄥※󰁼※󰃏※󰃝☯wdkn☯yòu※〕
㐜	〔※󰂶※󰃃※󰄼※󰄡☯giyv☯chóu※〕
㐝	〔※󰃿※󰃷※󰃏※󰃝☯rqkn☯jū※〕
㐞	〔※󰀎※󰄦※󰃝※󰀅☯dwnb☯qí※〕
㐟	〔※󰂺※󰂜※󰂺※󰃝☯hdhn☯fēi※〕
㐠	〔※󰂦※󰂎※󰄻※󰃝☯ebnn☯※〕
㐡	〔※󰄡※󰂢※󰃜※󰂝☯vdmd☯nuò※〕
㐢	〔※󰃁※󰂦※󰂍※󰃝☯iebn☯fú※〕
㐣	〔※󰃫※󰃗※󰃝※󰁫☯olnv☯kù※〕
㐤	〔※󰄡※󰂱※󰀣※󰄦☯vfhw☯qiú※〕
㐥	〔※󰃶※󰀐※󰀞※󰃝☯qegn☯chú※〕
㐦	〔※󰀗※󰂶※󰁕※󰃝☯egnn☯jǔ※〕
㐧	〔※󰄼※󰃦※󰂻※󰄋☯ynht☯※〕
㐨	〔※󰁻※󰃦※󰂻※󰂻☯cnhh☯xù※〕
㐩	〔※󰂭※󰀯※󰂭※󰀯☯fjfj☯xíng※〕
㐪	〔※󰂶※󰂔※󰄤※󰀦☯gbwi☯※〕
㐫	〔※󰄶※󰄄※󰂔※󰀬☯yrbj☯xiōng※〕
㐬	〔※󰄶※󰂙※󰀸※󰀅☯yckb☯liú※〕
㐭	〔※󰄶※󰃒※󰃏※󰀘☯ylkf☯lǐn※〕
㐮	〔※󰄘※󰀀※󰀔※󰁧☯uaeu☯※〕
㐯	〔※󰁸※󰃏※󰄌※󰃊☯yktj☯※〕
㐰	〔※󰄥※󰃏※󰀝※☯wkg☯xìn※〕
㐱	〔※󰄤※󰂥※󰁣※☯wer☯zhěn※〕
㐲	〔※󰄥※󰂝※󰁶※☯wdy☯dài※fú※〕
㐳	〔※󰄥※󰂶※󰃺※󰁀☯wgqn☯wù※〕
㐴	〔※󰄥※󰃹※󰁶※☯wqy☯※〕
㐵	〔※󰄥※󰂶※󰀛※󰀢☯wgfh☯※〕
㐶	〔※󰄥※󰃠※󰁀※☯wnn☯※〕
㐷	〔※󰄥※󰀊※󰂶※󰀝☯wcgg☯mǎ※mà※mián※〕
㐸	〔※󰄥※󰄾※󰄤※󰁶☯wqwy☯qiàn※〕
㐹	〔※󰄥※󰄂※󰁀※☯wrn☯yì※〕
㐺	〔※󰄥※󰄥※󰄤※󰁶☯wwwy☯zhòng※yín※〕
